[10-Sep-2020 13:06:32 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:32 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:06:32 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:32 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:32 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:06:32 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:32 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:32 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:06:54 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:54 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:54 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:06:54 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:54 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:06:54 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:07:00 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:07:00 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:07:00 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:07:00 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:07:00 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:07:00 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:07:00 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:07:00 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:07:00 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:08:06 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:08:06 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:08:06 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:08:06 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:08:06 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:08:06 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:11:43 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:11:43 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:11:43 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:11:51 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:11:51 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:11:51 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:15:34 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:15:34 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:15:34 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
[10-Sep-2020 13:18:29 UTC] PHP Notice:  Use of undefined constant idMembre - assumed 'idMembre' in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:18:29 UTC] PHP Warning:  PDOStatement::execute() expects parameter 1 to be array, string given in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 64
[10-Sep-2020 13:18:29 UTC] PHP Notice:  Undefined index: id in C:\wamp64\www\FilRougeAbdelMCMP\lib\methode_ajax.php on line 67
